Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
K;0;GG;;;;3.4;4.5;3.3;4.6;3;5;15;.5;1;1;2;2.951;5.023;2.285;3.318;5.755;[... - 3.318];]3.318 - 5.755];]5.755 - ...]
CL;0;GG;;;;98;107;95;110;80;115;10;10;1;1;5;2.43;4.18;1.613;88.996;104.103;[... - 88.996];]88.996 - 104.103];]104.103 - ...]
GLAJ;0;GG;;;;3.9;5.6;3.8;5.8;3.5;10;30;3;1;1;10;8.3;;;;;[... - ...];;
UREE;0;GG;;;;2.8;8.1;2.5;8.5;2;20;30;4;1;1;30;5.02;5.331;3.956;8.221;17.696;[... - 8.221];]8.221 - 17.696];]17.696 - ...]
CREAT;0;GG;;;;62;106;50;120;20;400;50;100;1;1;30;14.9;;;;;[... - ...];;
PROT;0;GG;;;;64;83;60;85;55;90;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
PROT;1;GG;;0;7;46;70;45;72;40;76;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
PROT;2;GG;;8;700;44;76;42;78;40;80;10;8;1;1;2;2.565;4.749;2.372;53.561;71.19;[... - 53.561];]53.561 - 71.19];]71.19 - ...]
AU;0;GG;;;;200;420;150;450;100;500;50;100;1;1;30;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
AU;1;GG;2;;;140;360;100;400;100;500;50;100;1;1;30;3.55;4.536;3.175;244.315;417.088;[... - 244.315];]244.315 - 417.088];]417.088 - ...]
CA;0;GG;;;;2.15;2.5;2.1;2.6;2;2.8;10;.2;1;1;2;3.604;5.236;2.117;2.005;2.88;[... - 2.005];]2.005 - 2.88];]2.88 - ...]
PHOS;0;GG;;;;.81;1.45;.8;1.6;.4;2.5;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
PHOS;1;GG;;1;30;1.45;2.16;1.4;2.2;.4;3;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
PHOS;2;GG;;20001;120000;1.45;1.78;1.4;1.9;.4;2.5;30;.4;1;1;30;6.521;5.877;5.228;1.022;1.906;[... - 1.022];]1.022 - 1.906];]1.906 - ...]
MG;0;GG;;;;.66;1;.6;1.2;.5;1.9;30;.5;1;1;15;5.975;5.046;4.432;.624;1.189;[... - .624];].624 - 1.189];]1.189 - ...]
FER;0;GG;;;;11;28;10;30;5;40;40;5;1;1;30;2.772;4.813;2.646;20.974;29.905;[... - 20.974];]20.974 - 29.905];]29.905 - ...]
FER;1;GG;2;;;6.6;26;6;30;5;40;40;5;1;1;30;2.772;4.813;2.646;20.974;29.905;[... - 20.974];]20.974 - 29.905];]29.905 - ...]
BILT;0;GG;;;;0;21;0;100;0;190;40;20;1;1;7;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;1;GG;;0;1;0;150;0;160;0;190;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;2;GG;;2;3;0;193;0;195;0;200;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILD;0;GG;;;;0;5;0;50;0;300;40;10;1;1;15;9.954;8.072;5.69;13.721;31.484;[... - 13.721];]13.721 - 31.484];]31.484 - ...]
CHOL;0;GG;;;;.5;5.2;.4;5.5;.4;7;20;1.5;1;1;90;6.325;4.57;5.76;3.396;5.165;[... - 3.396];]3.396 - 5.165];]5.165 - ...]
TRIGL;0;GG;;;;.4;1.7;.3;2;.2;5;50;.5;1;1;90;5.183;5.079;4.127;1.142;2.144;[... - 1.142];]1.142 - 2.144];]2.144 - ...]
HDL;0;GG;;;;.9;1.45;.5;2;.2;4;40;.5;1;1;90;3.256;3.685;2.106;.873;1.183;[... - .873];].873 - 1.183];]1.183 - ...]
HDL;1;GG;2;;;1.15;1.68;.8;2;.2;4;40;.5;1;1;90;3.256;3.685;2.106;.873;1.183;[... - .873];].873 - 1.183];]1.183 - ...]
LACT;0;GG;;;;.5;2.2;.5;2.2;.3;5;40;1;1;1;7;3.923;5.278;2.019;1.303;4.068;[... - 1.303];]1.303 - 4.068];]4.068 - ...]
PAL;0;GG;;;;40;130;35;150;20;300;50;40;1;1;15;5.908;11.418;8.014;115.075;249.608;[... - 115.075];]115.075 - 249.608];]249.608 - ...]
PAL;1;GG;2;;;35;105;30;115;20;300;50;40;1;1;15;5.908;11.418;8.014;115.075;249.608;[... - 115.075];]115.075 - 249.608];]249.608 - ...]
GGT;0;GG;;;;10;61;10;70;5;300;50;50;1;1;30;7.731;5.519;5.222;40.304;93.663;[... - 40.304];]40.304 - 93.663];]93.663 - ...]
GGT;1;GG;2;;;5;36;5;50;5;300;50;50;1;1;30;7.731;5.519;5.222;40.304;93.663;[... - 40.304];]40.304 - 93.663];]93.663 - ...]
GOT;0;GG;;;;10;50;5;60;5;100;50;30;1;1;15;3.335;4.892;2.598;72.162;163.67;[... - 72.162];]72.162 - 163.67];]163.67 - ...]
GPT;0;GG;;;;10;50;5;70;5;100;50;30;1;1;15;4.189;4.382;2.106;60.36;144.967;[... - 60.36];]60.36 - 144.967];]144.967 - ...]
CK;0;GG;;;;25;195;20;200;10;400;50;100;1;1;10;4.911;5.407;1.856;155.366;330.513;[... - 155.366];]155.366 - 330.513];]330.513 - ...]
CK;1;GG;2;;;25;160;20;180;10;400;50;100;1;1;10;4.911;5.407;1.856;155.366;330.513;[... - 155.366];]155.366 - 330.513];]330.513 - ...]
KU;0;GG;;;;12;60;2;100;;;50;50;1;1;7;5.832;5.44;0;70.465;0;[... -70.465];]70.465 - ...];
AMYL;0;GG;;;;28;100;20;150;10;300;30;25;1;1;7;0;;;;;;;
GLUU;0;GG;;;;0;.1;0;50;;;;;1;1;;5.382;4.992;0;9.064;0;[... -9.064];]9.064 - ...];
PTUR;0;GG;;;;0;.15;0;.2;0;1;30;.5;1;1;30;7.804;4.463;0;.307;0;[... -.307];].307 - ...];
UREEU;0;GG;;;;285;595;100;1000;;;50;100;1;1;30;6.569;9.99;0;223.76;0;[... -223.76];]223.76 - ...];
CREAU;0;GG;;;;3.5;22.9;1;30;;;80;5;1;1;5;0;;;;;;;
AUU;0;GG;;;;2.2;5.48;1.5;6;1;8;;;1;1;;5.466;7.846;0;424.834;0;[... -424.834];]424.834 - ...];
PHOSU;0;GG;;;;13;44;10;70;;;50;20;1;1;30;6.373;7.311;0;11.18;0;[... -11.18];]11.18 - ...];
MICRO;0;GG;;;;0;20;0;30;0;50;;;1;1;;7.263;38.912;0;46.657;0;[... -46.657];]46.657 - ...];
CRP;0;GG;;;;0;5;0;30;0;300;50;50;1;1;7;4.192;7.322;3.724;6.711;20.284;[... - 6.711];]6.711 - 20.284];]20.284 - ...]
C4;0;GG;;;;.1;.4;.1;.8;.1;1;;;1;1;;6.622;4.847;4.931;.193;.255;[... - .193];].193 - .255];].255 - ...]
IGA;0;GG;;;;.7;4;.6;4.5;.5;5;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;1;GG;;0;10000;0;.14;0;.4;0;.7;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;4;GG;;60001;140000;.34;2.2;.25;2.5;.15;2.8;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGG;0;GG;;;;7;16;6;18;5;20;30;3;1;1;30;3.181;4.399;4.043;8.623;11.451;[... - 8.623];]8.623 - 11.451];]11.451 - ...]
